Frame ID,Place,Dedication,Region,Tower ID,Grid Ref,Latitude,Longitude,Frame Number,Frame Date,Listed,Materials,Maker,Maker Uncertain,Trusses,Layout,Resultant Layout,Num Extensions
5912,Seamer,S Martin,North Yorkshire,12744,TA014833,54.23602,-0.44448,1,1952,,cast iron,John Taylor & Co,,8.3.A.h,6.1,,0
5913,Searby,S Nicholas,Lincolnshire,16146,TA072058,53.53851,-0.38319,1,,,timber,,,6.B,,,0
5915,Seaton,S Gregory,Devon,16846,SY247905,50.70990,-3.06778,2,1948,,cast iron,Gillett & Johnston,,8.3.A.l,,,0
5914,Seaton,S Gregory,Devon,16846,SY247905,50.70990,-3.06778,1,1919,,cast iron,William Aggett and Sons,,8.3.A.l,8.3,,0
5916,Seaton,All Hallows,Rutland,14173,SP904982,52.57455,-0.66741,1,1914,,metal,John Taylor & Co,,,5.1,,1
7946,Seaton,All Hallows,Rutland,14173,SP904982,52.57455,-0.66741,1.1,,,,,,,,,
5917,Seattle,"Gerberding Hall Bell Tower, University of Washington","Washington, United States of America",16423,,47.65539,-122.30904,1,2008,,steel,Eayre & Smith,,8.1.E.d,8.Radial,,0
9059,Seaview,S Peter,Isle of Wight,25348,SZ628915,50.71990,-1.11166,1,,,timber,,,9,1,,0
5918,Seavington St Mary,S Mary,Somerset,13857,ST402149,50.93065,-2.85118,1,1906,,oak,John Taylor & Co,,6.A,6.1,,0
5919,Seckington,All Saints,Warwickshire,14225,SK260074,52.66385,-1.61689,1,1883,,timber,,,,,,0
5921,Sedbergh,S Andrew,Cumbria,10999,SD657920,54.32311,-2.52872,2,1897,,cast iron,John Taylor & Co,,,,,0
5920,Sedbergh,S Andrew,Cumbria,10999,SD657920,54.32311,-2.52872,1,1897,,cast iron,John Taylor & Co,,,,,0
8516,Sedgeberrow,S Mary V,Worcestershire,23254,SP024385,52.04502,-1.96563,2,1921,,steel,John Taylor & Co (Bellfounders) Ltd,,8.1.A,,,0
8508,Sedgeberrow,S Mary V,Worcestershire,23254,SP024385,52.04502,-1.96563,1,1921,,steel,John Taylor & Co (Bellfounders) Ltd,,8.1.A,,,0
8180,Sedgebrook,S Lawrence,Lincolnshire,14470,SK857380,52.93294,-0.72580,9,,,,,,,,,0
5922,Sedgebrook,S Lawrence,Lincolnshire,14470,SK857380,52.93294,-0.72580,1,c1700,Y,timber,,,6.B,,,0
